Well_ID,State,District,Latitude,Longitude,Year,Month,GWL_m
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,1,8.32
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,2,8.76
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,3,7.88
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,4,9.38
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,5,10.29
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,6,9.88
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,7,6.77
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,8,7.27
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,9,6.77
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,10,7.77
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,11,8.12
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2013,12,7.04
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,1,7.39
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,2,7.97
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,3,7.74
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,4,9.91
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,5,9.3
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,6,9.04
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,7,7.98
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,8,7.14
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,9,7.28
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,10,7.54
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,11,7.98
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2014,12,8.31
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,1,7.92
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,2,8.69
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,3,8.2
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,4,9.85
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,5,9.7
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,6,10.93
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,7,7.49
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,8,6.97
LUD_000,Punjab,Ludhiana,29.123620356542087,77.3767857660248,2015,9,7.91
